_ROW_TYPE,_ISSUES,_NEEDS_REVIEW,id,name,category,equipment,primary_muscles,secondary_muscles,description,video_code,video_filename,gender,is_custom,created_at,steps_to_perform,movement_pattern,force_type,movement_type,laterality,plane_of_motion,difficulty_level,complexity_score,strength_rating,hypertrophy_rating,power_rating,endurance_rating,body_position,bench_angle,grip_type,grip_width,optimal_rep_range_min,optimal_rep_range_max,placement_in_workout,fatigability,popularity_score,home_gym_friendly,instructions,workout_type,practicality_score,fat_loss_rating,general_fitness_rating,is_compound,supersetable,exercise_family,base_exercise_name,complementary_families,is_equipment_primary,equipment_category,duration_based,recommended_sets,rest_seconds,muscles_worked_count,priority_build_muscle,priority_get_lean,priority_home,priority_gym
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,3c359332-66e0-48fe-a004-6a659e98bd69,Squat Hold Calf Raise (Dumbbell),Legs,Dumbbells,['Quads'],"['Glutes', 'Hamstrings']","Build stronger calves with this targeted squatting exercise. The glutes, hamstrings assist throughout the movement, making this a well-rounded exercise. Dumbbells allow each arm to work independently, helping correct imbalances. Leg training boosts metabolism and builds functional, real-world strength.",45631201,45631201-Dumbbell-Squat-Hold-Calf-Raise_Calves_.mp4,male,False,2025-12-03T23:26:26.39056+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Squat Hold Calf Raise. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Hold the position for the prescribed time, maintaining tension.",Squat,,,,,3,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,calf_raise,Squat Hold Calf Raise,"leg_press, leg_extension, leg_curl, lunge, front_squat, hack_squat",False,dumbbell,True,3,60,2,92,90,92,90
SUGGESTED_FIX,,,3c359332-66e0-48fe-a004-6a659e98bd69,Squat Hold Calf Raise (Dumbbell),Legs,Dumbbells,['Calves'],"['Glutes', 'Hamstrings']","Build stronger calves with this targeted squatting exercise. The glutes, hamstrings assist throughout the movement, making this a well-rounded exercise. Dumbbells allow each arm to work independently, helping correct imbalances. Leg training boosts metabolism and builds functional, real-world strength.",45631201,45631201-Dumbbell-Squat-Hold-Calf-Raise_Calves_.mp4,male,False,2025-12-03T23:26:26.39056+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Squat Hold Calf Raise. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Hold the position for the prescribed time, maintaining tension.",Squat,,,,,3,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,calf_raise,Squat Hold Calf Raise,"leg_press, leg_extension, leg_curl, lunge, front_squat, hack_squat",False,dumbbell,True,3,60,2,92,90,92,90
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,bf75b422-a1da-4f48-b4df-2d3c305e0789,Chair Squat Calf Rock,Legs,Chair,['Quads'],"['Glutes', 'Hamstrings']","The Chair Squat Calf Rock isolates your calf muscles through a squatting motion. Secondary activation of your glutes, hamstrings provides additional muscle engagement. Strong legs are the foundation for athletic performance and functional fitness.",87571201,87571201-Chair-Squat-Calf-Rock-(female)_Calves_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. Position yourself with a sturdy chair for support or as part of the movement. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Repeat for the prescribed number of repetitions. Focus on the mind-muscle connection.",Squat,,,,,3,,5,7,,6,,,,,12,20,,4,,True,,Strength,70,5,7,False,True,squat,Chair Squat Calf Rock,"leg_press, front_squat, goblet_squat, lunge, leg_extension",False,bodyweight,False,3,60,2,70,88,95,65
SUGGESTED_FIX,,,bf75b422-a1da-4f48-b4df-2d3c305e0789,Chair Squat Calf Rock,Legs,Chair,['Calves'],"['Glutes', 'Hamstrings']","The Chair Squat Calf Rock isolates your calf muscles through a squatting motion. Secondary activation of your glutes, hamstrings provides additional muscle engagement. Strong legs are the foundation for athletic performance and functional fitness.",87571201,87571201-Chair-Squat-Calf-Rock-(female)_Calves_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. Position yourself with a sturdy chair for support or as part of the movement. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Repeat for the prescribed number of repetitions. Focus on the mind-muscle connection.",Squat,,,,,3,,5,7,,6,,,,,12,20,,4,,True,,Strength,70,5,7,False,True,squat,Chair Squat Calf Rock,"leg_press, front_squat, goblet_squat, lunge, leg_extension",False,bodyweight,False,3,60,2,70,88,95,65
ORIGINAL,CATEGORY: Bicep Curl exercise should be in Biceps category,YES,bba3b2b1-21bf-443c-95ec-8de43d1a6476,Biceps Curl Squat (Dumbbell),Legs,Dumbbells,"['Quads', 'Glutes', 'Biceps']",['Forearms'],"Build stronger quads with this curling movement that develops leg drive and power. Your glutes, hamstrings work as secondary movers, adding to the training stimulus. The dumbbell variation provides freedom of movement and greater range of motion. Leg training boosts metabolism and builds functional, real-world strength.",106481201,106481201-Dumbbell-Biceps-Curl-Squat-(male)_Thighs_.mp4,male,False,2025-12-03T23:26:24.099303+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Biceps Curl Squat. 2. Keep your elbows in a fixed position throughout the movement. 3. Curl the weight up by contracting your biceps, squeezing at the top. 4. Lower with control, resisting the weight on the way down. 5. Repeat for the prescribed number of repetitions.",Squat,,,,,2,,10,10,,4,,,,,5,8,,9,,True,,Strength,100,7,9,True,False,bicep_curl,Biceps Curl Squat,"hammer_curl, preacher_curl, cable_curl",True,dumbbell,False,4,120,5,92,90,92,90
SUGGESTED_FIX,,,bba3b2b1-21bf-443c-95ec-8de43d1a6476,Biceps Curl Squat (Dumbbell),Biceps,Dumbbells,"['Quads', 'Glutes', 'Biceps']",['Forearms'],"Build stronger quads with this curling movement that develops leg drive and power. Your glutes, hamstrings work as secondary movers, adding to the training stimulus. The dumbbell variation provides freedom of movement and greater range of motion. Leg training boosts metabolism and builds functional, real-world strength.",106481201,106481201-Dumbbell-Biceps-Curl-Squat-(male)_Thighs_.mp4,male,False,2025-12-03T23:26:24.099303+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Biceps Curl Squat. 2. Keep your elbows in a fixed position throughout the movement. 3. Curl the weight up by contracting your biceps, squeezing at the top. 4. Lower with control, resisting the weight on the way down. 5. Repeat for the prescribed number of repetitions.",Squat,,,,,2,,10,10,,4,,,,,5,8,,9,,True,,Strength,100,7,9,True,False,bicep_curl,Biceps Curl Squat,"hammer_curl, preacher_curl, cable_curl",True,dumbbell,False,4,120,5,92,90,92,90
ORIGINAL,CATEGORY: Bicep Curl exercise should be in Biceps category,YES,fc9a7bfc-2dc6-4888-84cb-9faeefa9df9b,Rear Lunge Biceps Curl (Dumbbell),Legs,Dumbbells,"['Quads', 'Glutes', 'Hamstrings', 'Biceps']",['Forearms'],"Build stronger quads with this curling movement that develops leg drive and power. Secondary activation of your glutes, hamstrings provides additional muscle engagement. The dumbbell variation provides freedom of movement and greater range of motion. Strong legs are the foundation for athletic performance and functional fitness.",104351201,104351201-Dumbbell-Rear-Lunge-Biceps-Curl-(male)_Thighs_.mp4,male,False,2025-12-03T23:26:24.422129+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Rear Lunge Biceps Curl. 2. Keep your elbows in a fixed position throughout the movement. 3. Curl the weight up by contracting your biceps, squeezing at the top. 4. Lower with control, resisting the weight on the way down. 5. Repeat for the prescribed number of repetitions.",,,,,,2,,7,8,,5,,,,,8,12,,6,,True,,Strength,92,7,8,True,True,bicep_curl,Rear Lunge Biceps Curl,"hammer_curl, preacher_curl, cable_curl",True,dumbbell,False,3,90,4,92,90,92,90
SUGGESTED_FIX,,,fc9a7bfc-2dc6-4888-84cb-9faeefa9df9b,Rear Lunge Biceps Curl (Dumbbell),Biceps,Dumbbells,"['Quads', 'Glutes', 'Hamstrings', 'Biceps']",['Forearms'],"Build stronger quads with this curling movement that develops leg drive and power. Secondary activation of your glutes, hamstrings provides additional muscle engagement. The dumbbell variation provides freedom of movement and greater range of motion. Strong legs are the foundation for athletic performance and functional fitness.",104351201,104351201-Dumbbell-Rear-Lunge-Biceps-Curl-(male)_Thighs_.mp4,male,False,2025-12-03T23:26:24.422129+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Rear Lunge Biceps Curl. 2. Keep your elbows in a fixed position throughout the movement. 3. Curl the weight up by contracting your biceps, squeezing at the top. 4. Lower with control, resisting the weight on the way down. 5. Repeat for the prescribed number of repetitions.",,,,,,2,,7,8,,5,,,,,8,12,,6,,True,,Strength,92,7,8,True,True,bicep_curl,Rear Lunge Biceps Curl,"hammer_curl, preacher_curl, cable_curl",True,dumbbell,False,3,90,4,92,90,92,90
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,dadcf9f1-9af6-4bc7-88e5-ef897ab104ec,Calf Jump,Legs,Bodyweight,['Quads'],"['Glutes', 'Calves']","The Calf Jump is an explosive exercise that combines cardiovascular training with dynamic jumping movements. Your quads, calves work as secondary movers, adding to the training stimulus. No equipment needed—your body provides all the resistance. Plyometric training builds explosive power that transfers to sports and daily activities.",107511201,107511201-Calf-Jump-(female)_Plyometrics_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. Set up in the starting position for Calf Jump. 2. Execute the movement with proper form, focusing on your full body. 3. Control both the lifting and lowering phases of the movement. 4. Complete all reps with control before resting.",,,,,,3,,5,4,,8,,,,,8,12,,7,,True,,Plyometrics,50,9,8,True,True,general_exercise,Calf Jump,"squat, bench_press, deadlift",False,bodyweight,False,3,60,4,70,88,95,65
SUGGESTED_FIX,,,dadcf9f1-9af6-4bc7-88e5-ef897ab104ec,Calf Jump,Legs,Bodyweight,['Calves'],"['Glutes', 'Calves']","The Calf Jump is an explosive exercise that combines cardiovascular training with dynamic jumping movements. Your quads, calves work as secondary movers, adding to the training stimulus. No equipment needed—your body provides all the resistance. Plyometric training builds explosive power that transfers to sports and daily activities.",107511201,107511201-Calf-Jump-(female)_Plyometrics_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. Set up in the starting position for Calf Jump. 2. Execute the movement with proper form, focusing on your full body. 3. Control both the lifting and lowering phases of the movement. 4. Complete all reps with control before resting.",,,,,,3,,5,4,,8,,,,,8,12,,7,,True,,Plyometrics,50,9,8,True,True,general_exercise,Calf Jump,"squat, bench_press, deadlift",False,bodyweight,False,3,60,4,70,88,95,65
ORIGINAL,MUSCLE: Calf exercise incorrectly labeled as Chest,YES,77cff82e-c904-4210-b5f9-10df1becb83c,Sitting Incline Press Calf Raise (Chair),Legs,Chair,"['Calves', 'Chest']","['Front Delts', 'Triceps']","Target your chest with the Sitting Incline Press Calf Raise On A Chair, an effective pressing movement for upper body strength. You'll also feel your front delts, triceps working to support the movement. Being seated provides stability, allowing you to focus on the working muscles. Chest strength improves pushing power for sports, daily tasks, and other lifts.",69031201,69031201-Sitting-Incline-Press-Calf-Raise-on-a-Chair-(femal.mp4,female,False,2025-12-03T23:26:37.756436+00:00,"1. Position yourself with a sturdy chair for support or as part of the movement. 2. Sit with your back supported, core engaged, feet flat on the floor. 3. Lower the weight toward your chest with control. 4. Press the weight up until your arms are extended (don't lock elbows). 5. Continue for your target rep count, maintaining good form throughout. Focus on the mind-muscle connection.",,,,,,3,,5,7,,6,,,,,12,20,,4,,True,,Strength,68,5,7,False,True,incline_press,Sitting Incline Press Calf Raise On A Chair,"bench_press, shoulder_press, chest_fly",False,bodyweight,False,3,60,2,70,88,95,65
SUGGESTED_FIX,,,77cff82e-c904-4210-b5f9-10df1becb83c,Sitting Incline Press Calf Raise (Chair),Legs,Chair,['Calves'],"['Front Delts', 'Triceps']","Target your chest with the Sitting Incline Press Calf Raise On A Chair, an effective pressing movement for upper body strength. You'll also feel your front delts, triceps working to support the movement. Being seated provides stability, allowing you to focus on the working muscles. Chest strength improves pushing power for sports, daily tasks, and other lifts.",69031201,69031201-Sitting-Incline-Press-Calf-Raise-on-a-Chair-(femal.mp4,female,False,2025-12-03T23:26:37.756436+00:00,"1. Position yourself with a sturdy chair for support or as part of the movement. 2. Sit with your back supported, core engaged, feet flat on the floor. 3. Lower the weight toward your chest with control. 4. Press the weight up until your arms are extended (don't lock elbows). 5. Continue for your target rep count, maintaining good form throughout. Focus on the mind-muscle connection.",,,,,,3,,5,7,,6,,,,,12,20,,4,,True,,Strength,68,5,7,False,True,incline_press,Sitting Incline Press Calf Raise On A Chair,"bench_press, shoulder_press, chest_fly",False,bodyweight,False,3,60,2,70,88,95,65
ORIGINAL,MUSCLE: Glute exercise incorrectly labeled as Chest,YES,be59838d-079c-4958-96ff-1d313fe4b14d,Glute Bridge Chest Press (Bodyweight),Chest,Bodyweight,"['Glutes', 'Chest']","['Triceps', 'Front Delts']","Build a stronger chest with this pressing movement that develops pressing power. The hamstrings assist throughout the movement, making this a well-rounded exercise. No equipment needed—your body provides all the resistance. A well-developed chest contributes to upper body strength and aesthetics.",80561201,80561201-Bodyweight-Glute-Bridge-Chest-Press-(female)_Chest.mp4,female,False,2025-12-03T23:26:31.347577+00:00,1. Lower the weight toward your chest with control. 2. Press the weight up until your arms are extended (don't lock elbows). 3. Repeat for the prescribed number of repetitions. Focus on the mind-muscle connection.,,,,,,3,,7,7,,5,,,,,8,12,,6,,True,,Strength,70,7,8,True,True,glute_bridge,Glute Bridge Chest Press,"hip_thrust, romanian_deadlift",False,bodyweight,False,3,90,4,70,88,95,65
SUGGESTED_FIX,,,be59838d-079c-4958-96ff-1d313fe4b14d,Glute Bridge Chest Press (Bodyweight),Chest,Bodyweight,['Glutes'],"['Triceps', 'Front Delts']","Build a stronger chest with this pressing movement that develops pressing power. The hamstrings assist throughout the movement, making this a well-rounded exercise. No equipment needed—your body provides all the resistance. A well-developed chest contributes to upper body strength and aesthetics.",80561201,80561201-Bodyweight-Glute-Bridge-Chest-Press-(female)_Chest.mp4,female,False,2025-12-03T23:26:31.347577+00:00,1. Lower the weight toward your chest with control. 2. Press the weight up until your arms are extended (don't lock elbows). 3. Repeat for the prescribed number of repetitions. Focus on the mind-muscle connection.,,,,,,3,,7,7,,5,,,,,8,12,,6,,True,,Strength,70,7,8,True,True,glute_bridge,Glute Bridge Chest Press,"hip_thrust, romanian_deadlift",False,bodyweight,False,3,90,4,70,88,95,65
ORIGINAL,CATEGORY: Bicep Curl exercise should be in Biceps category,YES,e16030fd-6376-4271-950c-dd2861b47458,Standing Hammer Curl To Press (Dumbbell),Shoulders,Dumbbells,['Biceps'],"['Side Delts', 'Triceps']",The Dumbbell Standing Hammer Curl To Press is a pressing exercise that targets your delts for shoulder development. You'll also feel your forearms working to support the movement. Performing this standing challenges your balance and core engagement. The dumbbell variation provides freedom of movement and greater range of motion. Strong shoulders improve overhead strength and support nearly all upper body movements.,73601201,73601201-Dumbbell-Standing-Hammer-Curl-to-Press_Shoulders_.mp4,male,False,2025-12-03T23:26:24.698781+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Standing Hammer Curl To Press. 2. Stand with feet about shoulder-width apart. 3. Use a hammer/neutral grip with palms facing each other throughout. 4. Start with the weight at shoulder level. 5. Press directly overhead until your arms are fully extended. 6. Lower back to shoulder level with control. 7. Continue for your target rep count, maintaining good form throughout.",,,,,,3,,5,7,,6,Standing,,,,10,15,,4,,True,,Strength,94,5,7,False,True,hammer_curl,Standing Hammer Curl To Press,"bicep_curl, preacher_curl",False,dumbbell,False,3,60,2,92,90,92,90
SUGGESTED_FIX,,,e16030fd-6376-4271-950c-dd2861b47458,Standing Hammer Curl To Press (Dumbbell),Biceps,Dumbbells,['Biceps'],"['Side Delts', 'Triceps']",The Dumbbell Standing Hammer Curl To Press is a pressing exercise that targets your delts for shoulder development. You'll also feel your forearms working to support the movement. Performing this standing challenges your balance and core engagement. The dumbbell variation provides freedom of movement and greater range of motion. Strong shoulders improve overhead strength and support nearly all upper body movements.,73601201,73601201-Dumbbell-Standing-Hammer-Curl-to-Press_Shoulders_.mp4,male,False,2025-12-03T23:26:24.698781+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Standing Hammer Curl To Press. 2. Stand with feet about shoulder-width apart. 3. Use a hammer/neutral grip with palms facing each other throughout. 4. Start with the weight at shoulder level. 5. Press directly overhead until your arms are fully extended. 6. Lower back to shoulder level with control. 7. Continue for your target rep count, maintaining good form throughout.",,,,,,3,,5,7,,6,Standing,,,,10,15,,4,,True,,Strength,94,5,7,False,True,hammer_curl,Standing Hammer Curl To Press,"bicep_curl, preacher_curl",False,dumbbell,False,3,60,2,92,90,92,90
ORIGINAL,CATEGORY: Tricep exercise should be in Triceps category,YES,36947c0c-159f-4f76-80ef-09493dc76740,Seated Bent Arm Lateral Raise To Triceps (Dumbbell),Shoulders,"Dumbbells, Flat Bench",['Triceps'],['Traps'],"Target your lateral delts with the Dumbbell Seated Bent Arm Lateral Raise To Triceps, an effective shoulder raising exercise. Being seated provides stability, allowing you to focus on the working muscles. Using dumbbells requires more stabilization than barbell variations. Strong shoulders improve overhead strength and support nearly all upper body movements.",105101201,105101201-Dumbbell-Seated-Bent-Arm-Lateral-Raise-to-Triceps.mp4,male,False,2025-12-03T23:26:22.247914+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Seated Bent Arm Lateral Raise To Triceps. 2. Sit with your back supported, core engaged, feet flat on the floor. 3. Raise your arms out to the sides until parallel to the floor. 4. Lower with control, maintaining tension throughout. 5. Continue for your target rep count, maintaining good form throughout.",,,,,,2,,5,7,,6,Seated,,,,10,15,,4,,True,,Strength,84,5,7,False,True,lateral_raise,Seated Bent Arm Lateral Raise To Triceps,"shoulder_press, front_raise, rear_delt",True,dumbbell,False,3,60,2,92,90,92,90
SUGGESTED_FIX,,,36947c0c-159f-4f76-80ef-09493dc76740,Seated Bent Arm Lateral Raise To Triceps (Dumbbell),Triceps,"Dumbbells, Flat Bench",['Triceps'],['Traps'],"Target your lateral delts with the Dumbbell Seated Bent Arm Lateral Raise To Triceps, an effective shoulder raising exercise. Being seated provides stability, allowing you to focus on the working muscles. Using dumbbells requires more stabilization than barbell variations. Strong shoulders improve overhead strength and support nearly all upper body movements.",105101201,105101201-Dumbbell-Seated-Bent-Arm-Lateral-Raise-to-Triceps.mp4,male,False,2025-12-03T23:26:22.247914+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Seated Bent Arm Lateral Raise To Triceps. 2. Sit with your back supported, core engaged, feet flat on the floor. 3. Raise your arms out to the sides until parallel to the floor. 4. Lower with control, maintaining tension throughout. 5. Continue for your target rep count, maintaining good form throughout.",,,,,,2,,5,7,,6,Seated,,,,10,15,,4,,True,,Strength,84,5,7,False,True,lateral_raise,Seated Bent Arm Lateral Raise To Triceps,"shoulder_press, front_raise, rear_delt",True,dumbbell,False,3,60,2,92,90,92,90
ORIGINAL,CATEGORY: Bicep Curl exercise should be in Biceps category,YES,88783bbf-6352-4f6d-ba6a-31b76ac77602,Romanian Deadlift Biceps Curl Kickback (Bodyweight),Legs,Bodyweight,"['Hamstrings', 'Glutes', 'Biceps']","['Glutes', 'Lower Back']","Strengthen the back of your thighs with this curling exercise. Your glutes, lower back work as secondary movers, adding to the training stimulus. A versatile bodyweight movement perfect for home or gym training. Strong legs are the foundation for athletic performance and functional fitness.",87491201,87491201-Bodyweight-Romanian-Deadlift-Biceps-Curl-Kickback-.mp4,female,False,2025-12-03T23:26:31.475486+00:00,"1. Keep your elbows in a fixed position throughout the movement. 2. Curl the weight up by contracting your biceps, squeezing at the top. 3. Lower with control, resisting the weight on the way down. 4. Continue for your target rep count, maintaining good form throughout. Maintain consistent tempo throughout the set. Include this in your legs training.",,,,,,2,,5,7,,6,,,,,10,15,,4,,True,,Strength,100,5,7,False,True,romanian_deadlift,Romanian Deadlift Biceps Curl Kickback,"deadlift, leg_curl, hip_thrust",False,bodyweight,False,3,60,2,70,88,95,65
SUGGESTED_FIX,,,88783bbf-6352-4f6d-ba6a-31b76ac77602,Romanian Deadlift Biceps Curl Kickback (Bodyweight),Biceps,Bodyweight,"['Hamstrings', 'Glutes', 'Biceps']","['Glutes', 'Lower Back']","Strengthen the back of your thighs with this curling exercise. Your glutes, lower back work as secondary movers, adding to the training stimulus. A versatile bodyweight movement perfect for home or gym training. Strong legs are the foundation for athletic performance and functional fitness.",87491201,87491201-Bodyweight-Romanian-Deadlift-Biceps-Curl-Kickback-.mp4,female,False,2025-12-03T23:26:31.475486+00:00,"1. Keep your elbows in a fixed position throughout the movement. 2. Curl the weight up by contracting your biceps, squeezing at the top. 3. Lower with control, resisting the weight on the way down. 4. Continue for your target rep count, maintaining good form throughout. Maintain consistent tempo throughout the set. Include this in your legs training.",,,,,,2,,5,7,,6,,,,,10,15,,4,,True,,Strength,100,5,7,False,True,romanian_deadlift,Romanian Deadlift Biceps Curl Kickback,"deadlift, leg_curl, hip_thrust",False,bodyweight,False,3,60,2,70,88,95,65
ORIGINAL,MUSCLE: Row exercise incorrectly labeled as Chest (should be Back),YES,948de31a-259f-48be-a288-070219e76eab,Deep Push Up And Renegade Row (Dumbbell),Chest,Dumbbells,['Chest'],"['Triceps', 'Front Delts']","Target your chest with the Dumbbell Deep Push Up And Renegade Row, an effective rowing movement for upper body strength. Secondary activation of your triceps, front delts provides additional muscle engagement. The dumbbell variation provides freedom of movement and greater range of motion. A well-developed chest contributes to upper body strength and aesthetics.",47361201,47361201-Dumbbell-Deep-Push-up-and-Renegade-Row_Chest_.mp4,male,False,2025-12-03T23:26:23.288245+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Deep Push Up And Renegade Row. 2. Pull the weight toward your torso, leading with your elbow(s). 3. Squeeze your shoulder blades together at the peak contraction. 4. Extend back out with control, feeling the stretch in your back. 5. Complete all reps with control before resting.",,,,,,2,,10,10,,4,,,,,5,8,,8,,True,,Strength,82,7,9,True,False,dumbbell_row,Deep Push Up And Renegade Row,"bench_press, chest_fly, dip, tricep_pushdown",False,dumbbell,False,4,120,4,92,90,92,90
SUGGESTED_FIX,,,948de31a-259f-48be-a288-070219e76eab,Deep Push Up And Renegade Row (Dumbbell),Chest,Dumbbells,"['Back', 'Lats']","['Triceps', 'Front Delts']","Target your chest with the Dumbbell Deep Push Up And Renegade Row, an effective rowing movement for upper body strength. Secondary activation of your triceps, front delts provides additional muscle engagement. The dumbbell variation provides freedom of movement and greater range of motion. A well-developed chest contributes to upper body strength and aesthetics.",47361201,47361201-Dumbbell-Deep-Push-up-and-Renegade-Row_Chest_.mp4,male,False,2025-12-03T23:26:23.288245+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Deep Push Up And Renegade Row. 2. Pull the weight toward your torso, leading with your elbow(s). 3. Squeeze your shoulder blades together at the peak contraction. 4. Extend back out with control, feeling the stretch in your back. 5. Complete all reps with control before resting.",,,,,,2,,10,10,,4,,,,,5,8,,8,,True,,Strength,82,7,9,True,False,dumbbell_row,Deep Push Up And Renegade Row,"bench_press, chest_fly, dip, tricep_pushdown",False,dumbbell,False,4,120,4,92,90,92,90
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,95b909bc-b872-4a8a-a902-e2ebcef55468,Lever Seated Squat Calf Raise On Leg Press Machine,Legs,"Leg Press Machine, Calf Raise Machine",['Quads'],"['Glutes', 'Hamstrings']","This pressing movement focuses on your gastrocnemius and soleus. You'll also feel your glutes, hamstrings working to support the movement. The seated position helps isolate the target muscles by removing momentum. Machine exercises are great for isolating muscles and training to failure safely. Strong legs are the foundation for athletic performance and functional fitness.",57851201,57851201-Lever-Seated-Squat-Calf-Raise-on-Leg-Press-Machine.mp4,female,False,2025-12-03T23:26:34.855778+00:00,"1. Adjust the machine settings (seat height, weight, pads) to fit your body for Lever Seated Squat Calf Raise On Leg Press Machine. 2. Sit with your back supported, core engaged, feet flat on the floor. 3. Position your feet on the platform and release the safety. 4. Lower the weight by bending your knees, then press back up powerfully. 5. Complete all reps with control before resting.",Squat,,,,,1,,5,7,,6,Seated,,,,12,20,,4,,True,,Strength,100,5,7,False,True,calf_raise,Lever Seated Squat Calf Raise On Leg Press,"leg_press, leg_extension, leg_curl, lunge, front_squat, hack_squat",False,machine,False,3,60,2,80,75,20,88
SUGGESTED_FIX,,,95b909bc-b872-4a8a-a902-e2ebcef55468,Lever Seated Squat Calf Raise On Leg Press Machine,Legs,"Leg Press Machine, Calf Raise Machine",['Calves'],"['Glutes', 'Hamstrings']","This pressing movement focuses on your gastrocnemius and soleus. You'll also feel your glutes, hamstrings working to support the movement. The seated position helps isolate the target muscles by removing momentum. Machine exercises are great for isolating muscles and training to failure safely. Strong legs are the foundation for athletic performance and functional fitness.",57851201,57851201-Lever-Seated-Squat-Calf-Raise-on-Leg-Press-Machine.mp4,female,False,2025-12-03T23:26:34.855778+00:00,"1. Adjust the machine settings (seat height, weight, pads) to fit your body for Lever Seated Squat Calf Raise On Leg Press Machine. 2. Sit with your back supported, core engaged, feet flat on the floor. 3. Position your feet on the platform and release the safety. 4. Lower the weight by bending your knees, then press back up powerfully. 5. Complete all reps with control before resting.",Squat,,,,,1,,5,7,,6,Seated,,,,12,20,,4,,True,,Strength,100,5,7,False,True,calf_raise,Lever Seated Squat Calf Raise On Leg Press,"leg_press, leg_extension, leg_curl, lunge, front_squat, hack_squat",False,machine,False,3,60,2,80,75,20,88
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,43e33e5f-2c9e-4f11-8546-1c12b3b02c0b,Calf Raise And Front Squat (Bodyweight),Legs,Bodyweight,['Quads'],"['Glutes', 'Core']","This squatting movement focuses on your gastrocnemius and soleus. Your glutes, hamstrings work as secondary movers, adding to the training stimulus. A versatile bodyweight movement perfect for home or gym training. Lower body strength improves everything from walking to heavy compound lifts.",104481201,104481201-Bodyweight-Calf-Raise-and-Front-Squat-(male)_Thig.mp4,male,False,2025-12-03T23:26:24.577164+00:00,"1. Push your hips back and bend your knees to lower your body. 2. Keep your chest up and knees tracking over your toes. 3. Drive through your heels to stand back up, squeezing your glutes at the top. 4. Complete all reps with control before resting. Keep the movement smooth and controlled. Include this in your legs training.",Squat,,,,,4,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,front_squat,Calf Raise And Front Squat,"squat, leg_press, leg_extension, goblet_squat",False,bodyweight,False,3,60,2,70,88,95,65
SUGGESTED_FIX,,,43e33e5f-2c9e-4f11-8546-1c12b3b02c0b,Calf Raise And Front Squat (Bodyweight),Legs,Bodyweight,['Calves'],"['Glutes', 'Core']","This squatting movement focuses on your gastrocnemius and soleus. Your glutes, hamstrings work as secondary movers, adding to the training stimulus. A versatile bodyweight movement perfect for home or gym training. Lower body strength improves everything from walking to heavy compound lifts.",104481201,104481201-Bodyweight-Calf-Raise-and-Front-Squat-(male)_Thig.mp4,male,False,2025-12-03T23:26:24.577164+00:00,"1. Push your hips back and bend your knees to lower your body. 2. Keep your chest up and knees tracking over your toes. 3. Drive through your heels to stand back up, squeezing your glutes at the top. 4. Complete all reps with control before resting. Keep the movement smooth and controlled. Include this in your legs training.",Squat,,,,,4,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,front_squat,Calf Raise And Front Squat,"squat, leg_press, leg_extension, goblet_squat",False,bodyweight,False,3,60,2,70,88,95,65
